# Generated Laser Tracks with the following resolutions: 0.1 deg (horizontal) / 1 deg (vertical)
# angles measured from beam direction: horizontal (phi): counter-clockwise from beam direction
#                                      vertical (thetha): counter-clockwise (towards top) from beam direction
#  X[cm], Y[cm], Z[cm], thetha[deg], phi[deg] 
127.0 0.0 25.0 285.6456 362.5969
127.0 0.0 25.0 285.6456 362.6944
127.0 0.0 25.0 285.6456 362.7919
127.0 0.0 25.0 285.6456 362.8894
127.0 0.0 25.0 285.6456 362.9868
127.0 0.0 25.0 285.6456 363.0843
127.0 0.0 25.0 285.6456 363.1818
127.0 0.0 25.0 285.6456 363.2793
127.0 0.0 25.0 285.6456 363.3768
127.0 0.0 25.0 285.6456 363.4742
127.0 0.0 25.0 285.6456 363.5717
127.0 0.0 25.0 285.6456 363.6692
127.0 0.0 25.0 285.6456 363.7667
127.0 0.0 25.0 285.6456 363.8641
127.0 0.0 25.0 285.6456 363.9616
127.0 0.0 25.0 285.6456 364.0591
127.0 0.0 25.0 285.6456 364.1566
127.0 0.0 25.0 285.6456 364.2540
127.0 0.0 25.0 285.6456 364.3515
127.0 0.0 25.0 285.6456 364.4490
127.0 0.0 25.0 285.6456 364.5465
127.0 0.0 25.0 285.6456 364.6439
127.0 0.0 25.0 285.6456 364.7414
127.0 0.0 25.0 285.6456 364.8389
127.0 0.0 25.0 285.6456 364.9364
127.0 0.0 25.0 285.6456 365.0339
127.0 0.0 25.0 287.6827 313.2429
127.0 0.0 25.0 287.6827 313.3394
127.0 0.0 25.0 287.6827 313.4358
127.0 0.0 25.0 287.6827 317.7149
127.0 0.0 25.0 287.6827 317.8046
127.0 0.0 25.0 287.6827 317.8943
127.0 0.0 25.0 287.6827 317.9840
127.0 0.0 25.0 287.6827 318.0737
127.0 0.0 25.0 287.6827 318.1634
127.0 0.0 25.0 287.6827 318.2531
127.0 0.0 25.0 287.6827 318.3428
127.0 0.0 25.0 287.6827 322.9583
127.0 0.0 25.0 287.6827 323.0525
127.0 0.0 25.0 287.6827 323.1468
127.0 0.0 25.0 287.6827 323.2410
127.0 0.0 25.0 287.6827 323.3353
127.0 0.0 25.0 287.6827 323.4295
127.0 0.0 25.0 287.6827 323.5238
127.0 0.0 25.0 287.6827 323.6180
127.0 0.0 25.0 287.6827 323.7123
127.0 0.0 25.0 287.6827 323.8065
127.0 0.0 25.0 287.6827 323.9008
127.0 0.0 25.0 287.6827 323.9950
127.0 0.0 25.0 287.6827 324.0893
127.0 0.0 25.0 287.6827 329.0621
127.0 0.0 25.0 287.6827 329.1574
127.0 0.0 25.0 287.6827 329.2526
127.0 0.0 25.0 287.6827 329.3478
127.0 0.0 25.0 287.6827 329.4431
127.0 0.0 25.0 287.6827 329.5383
127.0 0.0 25.0 287.6827 329.6336
127.0 0.0 25.0 287.6827 329.7288
127.0 0.0 25.0 287.6827 329.8241
127.0 0.0 25.0 287.6827 329.9193
127.0 0.0 25.0 287.6827 330.0146
127.0 0.0 25.0 287.6827 330.1098
127.0 0.0 25.0 287.6827 330.2050
127.0 0.0 25.0 287.6827 330.3003
127.0 0.0 25.0 287.6827 330.3955
127.0 0.0 25.0 287.6827 330.4908
127.0 0.0 25.0 287.6827 330.5860
127.0 0.0 25.0 287.6827 330.6813
127.0 0.0 25.0 287.6827 330.7765
127.0 0.0 25.0 287.6827 336.0947
127.0 0.0 25.0 287.6827 336.1913
127.0 0.0 25.0 287.6827 336.2878
127.0 0.0 25.0 287.6827 336.3844
127.0 0.0 25.0 287.6827 336.4809
127.0 0.0 25.0 287.6827 336.5775
127.0 0.0 25.0 287.6827 336.6741
127.0 0.0 25.0 287.6827 336.7706
127.0 0.0 25.0 287.6827 336.8672
127.0 0.0 25.0 287.6827 336.9637
127.0 0.0 25.0 287.6827 337.0603
127.0 0.0 25.0 287.6827 337.1568
127.0 0.0 25.0 287.6827 337.2534
127.0 0.0 25.0 287.6827 337.3500
127.0 0.0 25.0 287.6827 337.4465
127.0 0.0 25.0 287.6827 337.5431
127.0 0.0 25.0 287.6827 337.6396
127.0 0.0 25.0 287.6827 337.7362
127.0 0.0 25.0 287.6827 337.8327
127.0 0.0 25.0 287.6827 337.9293
127.0 0.0 25.0 287.6827 338.0259
127.0 0.0 25.0 287.6827 338.1224
127.0 0.0 25.0 287.6827 338.2190
127.0 0.0 25.0 287.6827 338.3155
