# Generated Laser Tracks with the following resolutions: 0.1 deg (horizontal) / 1 deg (vertical)
# angles measured from beam direction: horizontal (phi): counter-clockwise from beam direction
#                                      vertical (thetha): counter-clockwise (towards top) from beam direction
#  X[cm], Y[cm], Z[cm], thetha[deg], phi[deg] 
127.0 0.0 1025.0 105.6456 175.1611
127.0 0.0 1025.0 105.6456 175.2586
127.0 0.0 1025.0 105.6456 175.3561
127.0 0.0 1025.0 105.6456 175.4535
127.0 0.0 1025.0 105.6456 175.5510
127.0 0.0 1025.0 105.6456 175.6485
127.0 0.0 1025.0 105.6456 175.7460
127.0 0.0 1025.0 105.6456 175.8434
127.0 0.0 1025.0 105.6456 175.9409
127.0 0.0 1025.0 105.6456 176.0384
127.0 0.0 1025.0 105.6456 176.1359
127.0 0.0 1025.0 105.6456 176.2333
127.0 0.0 1025.0 105.6456 176.3308
127.0 0.0 1025.0 105.6456 176.4283
127.0 0.0 1025.0 105.6456 176.5258
127.0 0.0 1025.0 105.6456 176.6232
127.0 0.0 1025.0 105.6456 176.7207
127.0 0.0 1025.0 105.6456 176.8182
127.0 0.0 1025.0 105.6456 176.9157
127.0 0.0 1025.0 105.6456 177.0132
127.0 0.0 1025.0 105.6456 177.1106
127.0 0.0 1025.0 105.6456 177.2081
127.0 0.0 1025.0 105.6456 177.3056
127.0 0.0 1025.0 105.6456 177.4031
127.0 0.0 1025.0 105.6456 177.5005
127.0 0.0 1025.0 105.6456 177.5980
127.0 0.0 1025.0 105.6456 177.6955
127.0 0.0 1025.0 105.6456 177.7930
127.0 0.0 1025.0 105.6456 177.8904
127.0 0.0 1025.0 105.6456 177.9879
127.0 0.0 1025.0 105.6456 178.0854
127.0 0.0 1025.0 105.6456 178.1829
127.0 0.0 1025.0 107.6827 226.5642
127.0 0.0 1025.0 107.6827 226.6606
127.0 0.0 1025.0 107.6827 226.7571
127.0 0.0 1025.0 107.6827 221.6572
127.0 0.0 1025.0 107.6827 221.7469
127.0 0.0 1025.0 107.6827 221.8366
127.0 0.0 1025.0 107.6827 221.9263
127.0 0.0 1025.0 107.6827 222.0160
127.0 0.0 1025.0 107.6827 222.1057
127.0 0.0 1025.0 107.6827 222.1954
127.0 0.0 1025.0 107.6827 222.2851
127.0 0.0 1025.0 107.6827 215.9107
127.0 0.0 1025.0 107.6827 216.0050
127.0 0.0 1025.0 107.6827 216.0992
127.0 0.0 1025.0 107.6827 216.1935
127.0 0.0 1025.0 107.6827 216.2877
127.0 0.0 1025.0 107.6827 216.3820
127.0 0.0 1025.0 107.6827 216.4762
127.0 0.0 1025.0 107.6827 216.5705
127.0 0.0 1025.0 107.6827 216.6647
127.0 0.0 1025.0 107.6827 216.7590
127.0 0.0 1025.0 107.6827 216.8532
127.0 0.0 1025.0 107.6827 216.9475
127.0 0.0 1025.0 107.6827 217.0417
127.0 0.0 1025.0 107.6827 209.2235
127.0 0.0 1025.0 107.6827 209.3187
127.0 0.0 1025.0 107.6827 209.4140
127.0 0.0 1025.0 107.6827 209.5092
127.0 0.0 1025.0 107.6827 209.6045
127.0 0.0 1025.0 107.6827 209.6997
127.0 0.0 1025.0 107.6827 209.7950
127.0 0.0 1025.0 107.6827 209.8902
127.0 0.0 1025.0 107.6827 209.9854
127.0 0.0 1025.0 107.6827 210.0807
127.0 0.0 1025.0 107.6827 210.1759
127.0 0.0 1025.0 107.6827 210.2712
127.0 0.0 1025.0 107.6827 210.3664
127.0 0.0 1025.0 107.6827 210.4617
127.0 0.0 1025.0 107.6827 210.5569
127.0 0.0 1025.0 107.6827 210.6522
127.0 0.0 1025.0 107.6827 210.7474
127.0 0.0 1025.0 107.6827 210.8426
127.0 0.0 1025.0 107.6827 210.9379
127.0 0.0 1025.0 107.6827 201.5879
127.0 0.0 1025.0 107.6827 201.6845
127.0 0.0 1025.0 107.6827 201.7810
127.0 0.0 1025.0 107.6827 201.8776
127.0 0.0 1025.0 107.6827 201.9741
127.0 0.0 1025.0 107.6827 202.0707
127.0 0.0 1025.0 107.6827 202.1673
127.0 0.0 1025.0 107.6827 202.2638
127.0 0.0 1025.0 107.6827 202.3604
127.0 0.0 1025.0 107.6827 202.4569
127.0 0.0 1025.0 107.6827 202.5535
127.0 0.0 1025.0 107.6827 202.6500
127.0 0.0 1025.0 107.6827 202.7466
127.0 0.0 1025.0 107.6827 202.8432
127.0 0.0 1025.0 107.6827 202.9397
127.0 0.0 1025.0 107.6827 203.0363
127.0 0.0 1025.0 107.6827 203.1328
127.0 0.0 1025.0 107.6827 203.2294
127.0 0.0 1025.0 107.6827 203.3259
127.0 0.0 1025.0 107.6827 203.4225
127.0 0.0 1025.0 107.6827 203.5191
127.0 0.0 1025.0 107.6827 203.6156
127.0 0.0 1025.0 107.6827 203.7122
127.0 0.0 1025.0 107.6827 203.8087
127.0 0.0 1025.0 107.6827 203.9053
127.0 0.0 1025.0 107.6827 193.1227
127.0 0.0 1025.0 107.6827 193.2207
127.0 0.0 1025.0 107.6827 193.3188
127.0 0.0 1025.0 107.6827 193.4169
127.0 0.0 1025.0 107.6827 193.5149
127.0 0.0 1025.0 107.6827 193.6130
127.0 0.0 1025.0 107.6827 193.7111
127.0 0.0 1025.0 107.6827 193.8091
127.0 0.0 1025.0 107.6827 193.9072
127.0 0.0 1025.0 107.6827 194.0053
127.0 0.0 1025.0 107.6827 194.1033
127.0 0.0 1025.0 107.6827 194.2014
127.0 0.0 1025.0 107.6827 194.2995
127.0 0.0 1025.0 107.6827 194.3975
127.0 0.0 1025.0 107.6827 194.4956
127.0 0.0 1025.0 107.6827 194.5937
127.0 0.0 1025.0 107.6827 194.6918
127.0 0.0 1025.0 107.6827 194.7898
127.0 0.0 1025.0 107.6827 194.8879
127.0 0.0 1025.0 107.6827 194.9860
127.0 0.0 1025.0 107.6827 195.0840
127.0 0.0 1025.0 107.6827 195.1821
127.0 0.0 1025.0 107.6827 195.2802
127.0 0.0 1025.0 107.6827 195.3782
127.0 0.0 1025.0 107.6827 195.4763
127.0 0.0 1025.0 107.6827 195.5744
127.0 0.0 1025.0 107.6827 195.6724
127.0 0.0 1025.0 107.6827 195.7705
127.0 0.0 1025.0 107.6827 195.8686
127.0 0.0 1025.0 107.6827 195.9666
127.0 0.0 1025.0 107.6827 184.1104
